subject,idna_subject,expiration_date,epoch
000-hidro-1.info,000-hidro-1.info,01-jun-2021,1622505600.0
000info.com,000info.com,30-mar-2021,1617062400.0
000mobility4903.info,000mobility4903.info,02-jun-2021,1622592000.0
000mobility99440.com,000mobility99440.com,06-may-2021,1620259200.0
000paypal.info,000paypal.info,26-mar-2021,1616716800.0
000webhostapp.com,000webhostapp.com,11-may-2022,1652227200.0
001y.com,001y.com,04-nov-2021,1635984000.0
0021883.online,0021883.online,11-may-2021,1620691200.0
0024aaaa.com,0024aaaa.com,17-mar-2021,1615939200.0
0026645142c89aeb1.com,0026645142c89aeb1.com,22-may-2021,1621641600.0
003store.com,003store.com,28-apr-2021,1619568000.0
0059868login.com,0059868login.com,19-apr-2021,1618790400.0
00658985228255.info,00658985228255.info,05-jun-2021,1622851200.0
006a039c957c142bb.com,006a039c957c142bb.com,12-may-2021,1620777600.0
008.net,008.net,15-nov-2024,1731628800.0
008753331120.com,008753331120.com,05-may-2021,1620172800.0
00880808.com,00880808.com,14-mar-2021,1615680000.0
008844.cc,008844.cc,25-may-2021,1621900800.0
008i.com,008i.com,23-may-2024,1716422400.0
008k.com,008k.com,12-oct-2024,1728691200.0
00aaa2d81c1d174.com,00aaa2d81c1d174.com,26-jul-2021,1627257600.0
00ae8b5a9c1d597.com,00ae8b5a9c1d597.com,31-may-2021,1622419200.0
00fun.com,00fun.com,05-aug-2021,1628121600.0
00o-mobility535554.info,00o-mobility535554.info,24-jun-2021,1624492800.0
011319481.com,011319481.com,28-may-2021,1622160000.0
012469af389a1d1246d.com,012469af389a1d1246d.com,31-jul-2021,1627689600.0
01388.net,01388.net,11-apr-2021,1618099200.0
015391bdhx62.xyz,015391bdhx62.xyz,24-jan-2021,1611446400.0
017e689c749.com,017e689c749.com,22-may-2021,1621641600.0
0190-dialer.com,0190-dialer.com,03-mar-2021,1614729600.0
01982019.com,01982019.com,18-apr-2021,1618704000.0
01accesd-support.com,01accesd-support.com,26-apr-2021,1619395200.0
01dbf3a452b6.com,01dbf3a452b6.com,05-apr-2021,1617580800.0
01ebjqa9.info,01ebjqa9.info,27-mar-2021,1616803200.0
01fen.com,01fen.com,24-aug-2021,1629763200.0
01gouv-1billd.com,01gouv-1billd.com,07-may-2021,1620345600.0
01w47q.cn,01w47q.cn,17-jan-2021,1610841600.0
022aifang.com,022aifang.com,22-jul-2021,1626912000.0
023hysj.com,023hysj.com,24-mar-2021,1616544000.0
024chaoren.cn,024chaoren.cn,31-jan-2021,1612051200.0
025suyu.com,025suyu.com,17-feb-2022,1645056000.0
027cgb.com,027cgb.com,13-mar-2021,1615593600.0
029999.com,029999.com,26-aug-2021,1629936000.0
02aa19117f396e9.com,02aa19117f396e9.com,23-jun-2021,1624406400.0
02b5da94a2bd4aea.com,02b5da94a2bd4aea.com,22-may-2021,1621641600.0
02dinero.com,02dinero.com,24-apr-2021,1619222400.0
0330vsdgdwer.xyz,0330vsdgdwer.xyz,29-mar-2021,1616976000.0
0351dvd.cn,0351dvd.cn,01-mar-2021,1614556800.0
0400msc.com,0400msc.com,29-jan-2021,1611878400.0
04080.com,04080.com,04-mar-2022,1646352000.0
0413fsiuhwem.xyz,0413fsiuhwem.xyz,12-apr-2021,1618185600.0
0427d7.se,0427d7.se,10-may-2023,1683676800.0
044-365.net,044-365.net,11-feb-2021,1613001600.0
0483bm4mlow8.xyz,0483bm4mlow8.xyz,27-jan-2021,1611705600.0
050y9lhe8p.com,050y9lhe8p.com,28-may-2021,1622160000.0
0516bm.com,0516bm.com,22-apr-2021,1619049600.0
0518dfgwert.xyz,0518dfgwert.xyz,18-may-2021,1621296000.0
0525pweoruxnj.xyz,0525pweoruxnj.xyz,23-may-2021,1621728000.0
0530hz.cn,0530hz.cn,07-mar-2021,1615075200.0
0531kt.com,0531kt.com,20-may-2021,1621468800.0
0538ly.cn,0538ly.cn,31-mar-2021,1617148800.0
054-365.net,054-365.net,11-feb-2021,1613001600.0
0551zgz.com,0551zgz.com,28-feb-2021,1614470400.0
05693911fbcd662a9fc91d3ef92e0473.icu,05693911fbcd662a9fc91d3ef92e0473.icu,11-jun-2021,1623369600.0
0592weixin.com,0592weixin.com,27-apr-2021,1619481600.0
05ee3a24ed11df058c8.com,05ee3a24ed11df058c8.com,12-sep-2021,1631404800.0
05f371696d4d018a795b9754875181de.icu,05f371696d4d018a795b9754875181de.icu,11-jun-2021,1623369600.0
05f4e2756f290.com,05f4e2756f290.com,12-may-2021,1620777600.0
05tz2e9.com,05tz2e9.com,07-feb-2021,1612656000.0
05xz0h2xo799.com,05xz0h2xo799.com,01-mar-2021,1614556800.0
0601chruopjsm.xyz,0601chruopjsm.xyz,31-may-2021,1622419200.0
0615nxbsho.xyz,0615nxbsho.xyz,14-jun-2021,1623628800.0
0629ohfsx.xyz,0629ohfsx.xyz,29-jun-2021,1624924800.0
063501.com,063501.com,13-may-2021,1620864000.0
06f09b1008ae993a5a.com,06f09b1008ae993a5a.com,23-jun-2021,1624406400.0
0706hjkv.xyz,0706hjkv.xyz,05-jul-2021,1625443200.0
0713bzksl.xyz,0713bzksl.xyz,12-jul-2021,1626048000.0
0727vjdl.xyz,0727vjdl.xyz,27-jul-2021,1627344000.0
07799d.com,07799d.com,09-mar-2021,1615248000.0
0796gou.com,0796gou.com,15-may-2021,1621036800.0
0800-supraprcorremamae10segurapreccs.com,0800-supraprcorremamae10segurapreccs.com,29-apr-2021,1619654400.0
080644.com,080644.com,23-aug-2021,1629676800.0
087betcup.com,087betcup.com,06-may-2021,1620259200.0
087celtabet.com,087celtabet.com,06-may-2021,1620259200.0
08819.com,08819.com,03-feb-2021,1612310400.0
088betcup.com,088betcup.com,11-may-2021,1620691200.0
088celtabet.com,088celtabet.com,11-may-2021,1620691200.0
08group.tv,08group.tv,25-mar-2022,1648166400.0
0926a687679d337e9d.com,0926a687679d337e9d.com,11-sep-2021,1631318400.0
0937js.com,0937js.com,10-apr-2021,1618012800.0
0956228a2df97a.com,0956228a2df97a.com,11-may-2021,1620691200.0
096-365.net,096-365.net,11-feb-2021,1613001600.0
097-365.net,097-365.net,11-feb-2021,1613001600.0
0a0qetx8et.com,0a0qetx8et.com,18-may-2021,1621296000.0
0a4bcef12091ce7.com,0a4bcef12091ce7.com,17-may-2021,1621209600.0
0ad.net,0ad.net,21-jan-2021,1611187200.0
0af51c7ae60e29da0418dda2b47ef98e45d03479.info,0af51c7ae60e29da0418dda2b47ef98e45d03479.info,17-mar-2021,1615939200.0
0ath-payment.com,0ath-payment.com,05-jun-2021,1622851200.0
0b599d1ae29e9ff1f60b37448d717a5e.icu,0b599d1ae29e9ff1f60b37448d717a5e.icu,16-jun-2021,1623801600.0
0b9d84d93f1b.com,0b9d84d93f1b.com,12-may-2021,1620777600.0
0bc.top,0bc.top,10-apr-2021,1618012800.0
0byv9mgbn0.com,0byv9mgbn0.com,25-apr-2021,1619308800.0
0cash.org,0cash.org,26-jan-2021,1611619200.0
0cat.com,0cat.com,19-jun-2021,1624060800.0
0cf40a2064ce2.com,0cf40a2064ce2.com,09-apr-2021,1617926400.0
0cf7a27a03e9025a823d4a70f0d0bc18af02abf4.info,0cf7a27a03e9025a823d4a70f0d0bc18af02abf4.info,22-jun-2021,1624320000.0
0corona.com,0corona.com,23-mar-2021,1616457600.0
0coronavirus.com,0coronavirus.com,25-mar-2021,1616630400.0
0cra-cerbrelief.info,0cra-cerbrelief.info,29-may-2021,1622246400.0
0d20bff8143.com,0d20bff8143.com,09-aug-2021,1628467200.0
0d43fefdde03fc1d207c35ca6bc0ae6b.icu,0d43fefdde03fc1d207c35ca6bc0ae6b.icu,10-jun-2021,1623283200.0
0d847862199.com,0d847862199.com,11-may-2021,1620691200.0
0emm.com,0emm.com,04-may-2021,1620086400.0
0f461325bf56c3e1b9.com,0f461325bf56c3e1b9.com,10-sep-2021,1631232000.0
0ffice-microsoft.com,0ffice-microsoft.com,13-apr-2021,1618272000.0
0ffice3in1update.support,0ffice3in1update.support,07-jun-2021,1623024000.0
0gctp5ht.top,0gctp5ht.top,22-jan-2021,1611273600.0
0gw7e6s3wrao9y3q.pro,0gw7e6s3wrao9y3q.pro,13-feb-2021,1613174400.0
0hacks.com,0hacks.com,14-jun-2021,1623628800.0
0hnx138db.com,0hnx138db.com,22-apr-2021,1619049600.0
0icep80f.com,0icep80f.com,05-feb-2021,1612483200.0
0iecfobt.com,0iecfobt.com,05-feb-2021,1612483200.0
0iv8.ru,0iv8.ru,27-jun-2021,1624752000.0
0j7z9aw6.top,0j7z9aw6.top,29-may-2021,1622246400.0
0klxjejyxak3.com,0klxjejyxak3.com,01-mar-2021,1614556800.0
0llii0g6.com,0llii0g6.com,05-feb-2021,1612483200.0
0mr.cc,0mr.cc,28-apr-2021,1619568000.0
0oaqgsk54hm5.com,0oaqgsk54hm5.com,04-apr-2021,1617494400.0
0on.info,0on.info,12-feb-2021,1613088000.0
0pixl.com,0pixl.com,26-jan-2021,1611619200.0
0pn.ru,0pn.ru,23-apr-2021,1619136000.0
0qwc.ru,0qwc.ru,27-jun-2021,1624752000.0
0ra5eylno4zs.com,0ra5eylno4zs.com,09-mar-2021,1615248000.0
0s9dxlr07huu.com,0s9dxlr07huu.com,01-mar-2021,1614556800.0
0scotia.com,0scotia.com,30-apr-2021,1619740800.0
0stats.com,0stats.com,08-jun-2021,1623110400.0
0sywjs4r1x.com,0sywjs4r1x.com,25-apr-2021,1619308800.0
0texkax7c6hzuidk.com,0texkax7c6hzuidk.com,25-jan-2021,1611532800.0
0tracker.com,0tracker.com,05-aug-2021,1628121600.0
0u48ltm1ok.ru,0u48ltm1ok.ru,10-apr-2021,1618012800.0
0utl00ksubscripti0n.support,0utl00ksubscripti0n.support,07-jun-2021,1623024000.0
0wf.net,0wf.net,19-jun-2021,1624060800.0
0x1f4b0.com,0x1f4b0.com,03-feb-2021,1612310400.0
0xchase05c.com,0xchase05c.com,30-jun-2021,1625011200.0
1-hash.com,1-hash.com,01-may-2022,1651363200.0
1-m.xyz,1-m.xyz,01-jun-2021,1622505600.0
1-remont.com,1-remont.com,01-feb-2021,1612137600.0
1-vinstaller.com,1-vinstaller.com,04-may-2021,1620086400.0
1-vr.xyz,1-vr.xyz,19-may-2021,1621382400.0
100-365.net,100-365.net,11-feb-2021,1613001600.0
10000hits.net,10000hits.net,29-mar-2021,1616976000.0
1000dy.com,1000dy.com,04-aug-2021,1628035200.0
1000expert.com,1000expert.com,15-feb-2021,1613347200.0
1000ip.net,1000ip.net,10-mar-2022,1646870400.0
1000stars.ru,1000stars.ru,07-jun-2021,1623024000.0
1002.men,1002.men,11-may-2026,1778457600.0
10022020test146831-service1002012510022020.space,10022020test146831-service1002012510022020.space,06-jun-2021,1622937600.0
100bitco.in,100bitco.in,06-aug-2021,1628208000.0
100btc.com,100btc.com,11-apr-2021,1618099200.0
100fenlm.com,100fenlm.com,03-apr-2021,1617408000.0
100giveaways.com,100giveaways.com,22-feb-2021,1613952000.0
100pantyhose.com,100pantyhose.com,14-feb-2021,1613260800.0
100sexlinks.com,100sexlinks.com,17-jan-2021,1610841600.0
100webads.com,100webads.com,03-sep-2022,1662163200.0
100webspace.net,100webspace.net,02-jun-2025,1748822400.0
100widgets.com,100widgets.com,04-feb-2021,1612396800.0
100xbtc.com,100xbtc.com,25-apr-2021,1619308800.0
101001-fb-sessions.com,101001-fb-sessions.com,08-may-2021,1620432000.0
101010.pl,101010.pl,14-mar-2021,1615680000.0
1017.cn,1017.cn,11-mar-2022,1646956800.0
101m3.com,101m3.com,27-jan-2023,1674777600.0
103092804.com,103092804.com,19-may-2021,1621382400.0
103bees.com,103bees.com,03-may-2021,1620000000.0
105app.com,105app.com,15-mar-2021,1615766400.0
108-365.net,108-365.net,11-feb-2021,1613001600.0
10836northridge.com,10836northridge.com,03-apr-2021,1617408000.0
10836northridgesquare.com,10836northridgesquare.com,04-apr-2021,1617494400.0
10adspay.com,10adspay.com,05-apr-2021,1617580800.0
10cd.ru,10cd.ru,29-mar-2021,1616976000.0
10clicks.com,10clicks.com,07-apr-2021,1617753600.0
10fbb07a4b0.se,10fbb07a4b0.se,02-aug-2021,1627862400.0
10in10trading.com,10in10trading.com,07-apr-2021,1617753600.0
10offers.com,10offers.com,07-may-2021,1620345600.0
10pmlive.com,10pmlive.com,17-mar-2021,1615939200.0
10root25.website,10root25.website,10-apr-2021,1618012800.0
10tips.online,10tips.online,12-jul-2021,1626048000.0
10xbitco.in,10xbitco.in,10-apr-2021,1618012800.0
10xbitcoin.com,10xbitcoin.com,27-jan-2021,1611705600.0
10xbtc.net,10xbtc.net,28-feb-2021,1614470400.0
10y5gehv.com,10y5gehv.com,05-feb-2021,1612483200.0
1100ad.com,1100ad.com,17-jun-2022,1655424000.0
1100i.com,1100i.com,06-aug-2021,1628208000.0
110380d053f716c4.com,110380d053f716c4.com,09-jul-2021,1625788800.0
111qqq.vip,111qqq.vip,20-feb-2022,1645315200.0
112corona.com,112corona.com,26-mar-2021,1616716800.0
112coronavirus.com,112coronavirus.com,26-mar-2021,1616716800.0
112covid.com,112covid.com,26-mar-2021,1616716800.0
113-365.net,113-365.net,11-feb-2021,1613001600.0
114com.cc,114com.cc,25-may-2021,1621900800.0
114lk.com,114lk.com,21-apr-2023,1682035200.0
114oldest.com,114oldest.com,23-jan-2021,1611360000.0
118aa629a7968e75e.com,118aa629a7968e75e.com,22-may-2021,1621641600.0
11990.com,11990.com,13-feb-2022,1644710400.0
11a581bbb5038e.com,11a581bbb5038e.com,16-mar-2021,1615852800.0
11bet.com,11bet.com,03-jun-2023,1685750400.0
11ccda709b5cdf5.com,11ccda709b5cdf5.com,28-feb-2021,1614470400.0
11flexiblebig9.website,11flexiblebig9.website,12-feb-2021,1613088000.0
